28,15.3,PG
25,12.3,SF
27,22.2,C
26,9.6,PG
28,18.2,PF
24,12.3,PF
29,9.3,SF
27,9.2,C
27,16.9,SF
29,21.1,SG
33,11.2,PG
26,9.6,SG
23,8.4,C
23,11.6,C
23,6.2,C
30,8.5,PF
25,10.9,SF
26,17.6,SF
23,8.6,PG
23,19.4,SG
26,20.6,PG
25,21.6,PG
22,10.7,SF
28,13.5,SG
28,16.1,SG
28,10.2,SG
22,12.7,SF
24,2.1,SG
23,2,SG
27,14.8,SG
25,13.3,PG
22,0.2,SF
33,25.5,C
26,8,SF
26,3.2,SF
26,8.7,SF
26,20.3,C
22,5.3,PF
32,14.3,PG
32,6.7,C
23,14.5,PF
26,16.7,SF
29,14.5,SF
24,19.3,SG
26,10.7,PF
26,15.1,C
31,10.6,PG
24,19.9,PF
25,20.3,SG
23,1.9,SG
34,9,SG
23,6.1,SG
23,13.7,SG
25,11.5,PG
29,10.6,PF
25,12,SG
25,9.5,SG
25,13.5,SG
27,17.1,SF
29,14.9,SF
22,18,PG
22,15.8,SF
32,18.3,SG
25,-18.6,C
22,10.9,C
26,12.8,PF
26,15.1,PG
28,8.5,C
30,11.7,SG
24,13.6,SF
33,11,PG
32,6.2,SG
32,-1.9,SG
32,7.2,SG
25,17,PF
30,11.6,SF
22,16.4,C
22,10.7,SF
23,8.8,SG
23,18.4,C
29,10.4,PF
24,16.4,PG
30,5.6,SG
31,11.8,PF
26,4.3,SG
22,14.5,SF
22,15,SF
22,13.6,SF
29,13.1,SG
22,15,SG
24,11.2,SF
24,12.2,SG
24,12.2,C
24,16.5,C
32,13,PG
25,11,C
24,15.2,C
23,13.8,C
33,11.6,SF
24,24.3,SF
25,16.4,PG
25,15.2,PG
22,4.5,PF
22,44.2,PF
22,-5.4,PF
26,11.8,SF
26,18.4,SG
24,15.9,C
23,10.4,PF
32,11.8,C
23,15.9,C
26,5.4,SF
26,12.5,C
26,19.2,SF
22,9.3,PG
26,5.3,C
24,13.8,SG
24,13.7,SF
24,14.3,SG
26,15,SG
25,10.2,SG
22,2.6,PG
25,18.2,C
25,12.3,C
28,8.6,C
27,19.7,SF
30,25.1,SF
25,11.1,PG
27,11,C
32,8.8,SG
28,8.2,SF
24,17.3,PG
27,19.5,SG
22,6.9,SG
30,13.7,PG
30,13.4,PG
30,13.9,PG
24,8.8,SF
27,12.5,SF
27,12.2,SF
27,12.8,SF
28,22.9,SG
31,21.7,C
25,15,PG
21,14.5,C
25,16.3,PF
26,13.6,PG
23,16.6,PF
27,14.5,SG
27,13.8,PF
22,14.7,SG
27,14,SF
25,13.7,SF
23,10.4,PG
23,11,SF
23,7.5,SG
24,11.9,PF
23,8.4,PF
25,14.2,SG
25,11.6,SG
25,16,SG
30,14.7,C
35,14.9,PF
32,10.9,PF
25,10.4,PG
29,10.9,SG
24,13.4,SG
26,11.9,PG
23,10.8,PG
27,8,PG
27,7.2,PG
27,8.4,PG
24,9.8,SG
27,11,PG
24,10.7,PF
24,15.4,PF
28,6.3,C
28,10.3,C
28,4.4,C
23,13.4,PG
23,13.4,PG
23,13.4,PG
32,21.7,C
23,12.9,PG
26,15.5,SF
24,15.6,C
26,17,PG
25,17.9,SG
32,13.5,C
24,17.4,PF
33,11.3,SF
23,0.8,PF
23,1.5,PF
23,-4.7,PF
21,25.7,SG
24,22,SF
28,16.3,PF
31,16.7,SF
23,12.9,PF
24,16.8,PG
29,20.1,PF
30,10.1,C
28,13.1,PF
24,17.6,PF
27,10.3,PF
26,10.4,PG
26,13.3,PG
26,9.7,PG
24,8.5,SF
24,11.1,SF
21,17.3,PF
27,14.4,C
23,11.8,SF
28,15.2,SF
22,7,SG
22,8,SG
22,4.8,SG
24,19.9,SF
23,16.9,PF
28,19.9,SG
25,11.8,PF
24,-1.9,SG
29,12.7,C
26,16.6,PF
32,13.5,C
25,13.5,C
23,14.2,C
28,8.4,PF
28,24.5,PF
28,8.1,PF
25,12.5,PF
32,19.7,C
28,19.4,C
23,13.9,PG
28,9.9,PG
22,8.2,PG
28,9.3,C
24,15.6,SG
27,11.6,PG
28,14.6,PF
23,12.8,SG
23,-0.6,SG
23,13,SG
23,14.5,PG
22,13.6,PF
25,25.1,C
21,13.1,PG
21,12.6,PG
21,13.6,PG
25,17.6,SF
26,17.2,SF
23,6.8,SF
29,14.4,PF
29,11.5,PF
29,17.6,PF
27,8.8,PG
23,7.9,SG
27,5.9,PG
30,14.9,PF
23,16.4,PF
25,13.3,PG
25,11,PG
25,15.5,PG
28,11.6,C
31,-5.9,SG
27,12.4,C
22,3.3,SF
22,4.4,SF
22,1.4,SF
25,17.5,SF
33,19.7,SF
24,10.3,C
23,18,SG
22,15.8,PG
23,11.1,PG
32,18.1,PG
31,18.2,C
24,14.8,SF
22,5.2,SG
32,15.6,SG
22,10.2,PG
22,8.3,PG
22,11.7,PG
25,6.7,SF
25,15.5,PG
22,12.6,SF
24,14.8,SF
23,3.3,C
22,16.1,SF
31,15.1,PF
27,25.2,C
25,13.3,SG
26,6.9,SF
32,12.9,PF
23,16.9,SG
29,11.7,PF
24,14.3,SG
24,12.3,SG
24,-4.5,SG
24,13.5,SG
25,13,PF
30,16.2,PG
24,2.4,SG
22,4,SF
22,14.9,PG
32,4.7,C
23,4.2,PF
23,6.2,SG
25,16.4,SF
29,13.8,SF
24,12.2,SG
25,17.1,SG
25,6.2,SF
25,14.9,C
20,17.9,PF
29,14.9,PF
22,11.5,PF
28,14.8,PF
28,6,PF
28,15.2,PF
31,14.1,C
31,12.5,C
31,14.4,C
31,13.1,PG
25,14.5,C
22,10.2,PG
27,20.7,PF
29,12.9,SF
24,13,SF
22,11.5,PF
25,13.4,SF
23,8.8,SF
25,10.9,PF
23,17,SF
28,9.3,PF
28,9.7,PF
28,-11.5,PF
24,8.4,PG
25,18,C
31,19.4,PG
23,14.8,PF
28,16.2,SG
32,17,SG
25,7.2,PG
28,15.6,PG
23,17.3,SF
22,8.2,PG
23,6.4,SF
29,15.9,PG
24,13.7,SG
23,18.4,SG
26,19.4,SG
26,16.6,C
32,13.5,PF
23,12.7,SG
24,17.2,SF
34,13.5,C
23,10.3,SF
29,6.5,SF
22,11.9,SF
25,11.8,C
29,10.1,PG
26,11.3,SF
27,9.9,PG
29,17.4,PF
25,13.6,PF
25,11.5,PF
25,14.1,PF
28,10.8,C
28,14.8,SF
30,16.5,SG
34,10.4,PG
27,6.6,SG
27,13.3,SG
27,4.9,SG
24,8.3,C
24,6,C
24,5.6,C
24,8.8,C
23,14,SG
31,9.7,PF
23,19.8,PF
26,12.3,SG
27,18,SF
22,11.2,SF
25,9.2,C
24,20.2,SG
26,19,PG
23,16.6,PF
29,4.2,SG
23,10.8,SF
28,12.5,SG
22,10.9,SG
23,8.9,PG
26,11.1,PG
34,23.4,C
27,18.6,C
22,17.3,SF
22,10.1,SG
33,14.3,PG
33,1.6,C
23,-6.8,C
24,13.3,PF
24,8.7,PF
24,14,PF
27,17.9,SF
22,14.7,SF
30,12.7,SF
30,12.6,SF
30,12.7,SF
25,17.8,SG
27,-2.7,PF
27,14.4,C
25,22.6,PF
26,13.3,SG
22,16.2,SG
23,9.7,SG
22,12.4,SF
22,8.9,SG
24,10.9,SG
23,8.4,PF
26,14.2,PG
30,10.1,PF
26,15.9,SG
26,21.5,SG
26,14,SG
28,16,SF
30,12.6,SF
23,13,SG
23,16.1,SF
33,15.2,SG
23,11.2,C
27,12.8,SF
27,14.4,PG
23,15.5,SG
23,3.6,PG
23,0.9,PG
23,5.3,PG
31,14.8,PG
26,14.7,PF
26,15.3,PF
26,12.7,PF
31,11.9,SF
23,15.9,C
23,11.1,SG
24,9.4,SG
24,16.3,C
30,8.1,PF
23,10.5,PF
22,15,PF
25,18.3,PG
32,8.6,C
23,15.1,SG
23,13.7,PG
25,10.2,PF
24,1.3,C
25,14.3,SG
25,13.8,C
26,7.5,SF
25,14.9,C
33,13.3,PG
33,13.6,PG
33,13.1,PG
26,3.6,C
25,11.1,PF
24,12.8,PF
34,5.2,SF
25,24.2,SF
26,14.5,PG
23,10.7,SF
26,15.2,SG
27,6.6,SF
27,18.3,SF
25,15,C
24,5.7,PF
23,11.1,PF
33,10.8,C
23,7,PG
24,16,C
25,12.1,SG
27,6.5,C
27,18.1,SF
23,15.3,PG
25,12.5,SG
27,13.2,SG
26,12.1,SG
23,7,PG
22,11.1,SF
22,13.7,PG
26,15.8,C
29,11.8,C
28,22.2,SF
31,25.9,SF
26,7.3,PG
26,7.2,PG
26,7.5,PG
28,8.1,C
33,7.8,SG
29,3.7,SF
25,11.4,PG
28,18.2,SG
31,10.9,PG
25,8.4,SF
29,24.2,SG
32,22.4,C
26,16,SG
22,15.3,C
26,14.9,SF
27,17.4,PG
24,15.5,PF
28,11.7,SG
28,8.5,PF
23,15.8,SG
28,13.8,SF
26,17.2,SG
23,7.9,C
26,18.1,PG
24,9.6,SF
24,10.5,SG
25,11.4,SF
24,12.2,PF
26,13.4,SG
31,14.5,PF
36,14.4,PF
26,10.7,C
26,9.7,C
26,10.9,C
32,13.2,PF
26,13.2,PG
30,11,SG
25,6.8,SG
27,10.8,PG
28,5.5,PG
28,7.4,PG
28,4.6,PG
25,6.8,SG
25,8.2,SG
25,-21.5,SG
28,12.5,PG
25,10.4,PF
25,13.4,SF
25,13.5,SF
25,13.3,SF
24,14,PG
33,23.1,C
22,11.8,SG
22,9.8,SG
22,12.2,SG
25,12.8,SG
25,15,C
27,16.7,SG
26,16.5,SG
22,13.1,SF
23,12,PG
33,10.6,C
25,12.3,PF
34,9.8,SF
22,22.9,SG
25,18,SF
29,16.4,PF
32,12.4,SF
24,14.2,PF
24,13.7,PF
24,12.7,PF
24,15.7,PF
24,17.6,C
25,14.5,SG
25,12,SG
25,14.7,SG
30,19.3,PF
31,11.3,C
29,13.4,PF
25,17.5,PF
28,13.4,PF
27,12.2,PG
25,7.7,SF
22,11,PF
28,12.5,C
24,11.8,SF
24,10.7,SF
24,12.2,SF
29,11.2,PF
22,13.5,SF
25,19.8,SF
24,13,SF
29,16.7,SF
26,13,SF
26,10.4,PF
30,6.4,C
27,15.2,PF
33,7.4,C
33,15.6,C
33,7.2,C
26,7.6,C
24,15.4,C
24,14.2,C
24,16.5,C
29,8.2,PF
29,8.1,PF
29,8.3,PF
22,9.8,SF
26,10.3,PF
33,17.4,C
24,16.4,PG
26,1,C
29,9.7,PG
23,13.8,PG
23,11.5,C
22,14.8,SG
29,5.9,PF
22,12.9,SF
25,17.4,SG
28,15.2,PG
29,17.9,PF
24,7.9,SG
23,9.3,SF
24,15.7,PG
23,13.3,PF
26,26.8,C
22,12.6,PG
26,16,SF
27,16.7,SF
30,14.4,C
