2008,12.4,PG,Juan Dixon
2008,14.6,PG,Bobby Jackson
2002,20.7,SF,Michael Jordan*
2005,9,PF,Clifford Robinson
2005,8.6,C,Michael Ruffin
2008,8.6,PF,Bo Outlaw
2002,21.2,PG,Terrell Brandon
2008,13.5,PF,Andre Brown
2000,8.5,PG,Haywoode Workman
2006,10.7,C,Zeljko Rebraca
2001,3.8,SG,Tony Smith
2008,6.5,PG,Jeff McInnis
2009,0.4,C,Jake Voskuhl
2003,13.6,C,Vladimir Stepania
2007,11.3,PG,Sarunas Jasikevicius
2009,10.3,PG,Anthony Johnson
2001,14.9,PG,Sean Colson
2008,11.7,PF,Stephane Lasme
2006,14.5,SG,Jalen Rose
2004,8,PG,Robert Pack
2006,16.1,PG,Tony Delk
2007,16.4,C,Pape Sow
2009,10.7,SG,Morris Peterson
2005,11.9,PG,Travis Best
2007,11.6,PG,Darrick Martin
2007,-20.7,SG,Chris McCray
2001,6.4,SG,Nick Anderson
2003,6.2,PG,Chris Childs
2005,1.2,C,Derrick Coleman
2004,11.5,SF,DerMarr Johnson
2004,6.9,C,Corie Blount
2001,12.1,PF,Bill Curley
2005,8.4,PF,Jabari Smith
2001,11.1,PF,Sam Perkins
2006,8.2,C,Zendon Hamilton
2005,5.6,SF,Darvin Ham
2005,8.7,PG,Charlie Ward
2008,10,PG,Andre Owens
2000,10.7,PG,B.J. Armstrong
2006,12.7,C,P.J. Brown
2003,20.1,SF,Chris Owens
2007,16.9,PF,Chris Webber
2006,12.4,SF,Qyntel Woods
2005,9,SG,Lucious Harris
2003,10.2,PG,Brian Shaw
2008,16.2,C,Alonzo Mourning*
2005,15.9,PG,Anthony Goldwire
2006,6.1,PG,Aaron McKie
2000,13.9,PF,Mirsad Turkcan
2000,17.3,C,Rik Smits
2004,11.4,SG,Alvin Williams
2005,9.4,C,Curtis Borchardt
2006,11.8,SG,Voshon Lenard
2005,90.3,C,Jackie Butler
2003,12.7,PF,Chris Mills
2000,2.4,C,Aleksandar Radojevic
2006,2.1,SF,Jim Jackson
2003,-2.4,SG,Antoine Rigaudeau
2008,8.3,SF,Eric Piatkowski
2005,10.2,PG,Horace Jenkins
2001,3.3,C,Dalibor Bagaric
2007,13.2,C,Dale Davis
2004,17.8,SG,Dana Barros
2000,10,C,Jim McIlvaine
2003,16.1,PF,Christian Laettner
2002,7.8,SG,Felipe Lopez
2006,12.2,C,Alan Henderson
2002,11.3,SF,Rick Fox
2002,15,C,Ratko Varda
2000,8.8,SF,Sean Elliott
2005,11.1,PF,Tom Gugliotta
2005,17,PG,Omar Cook
2008,17.7,PG,Mike Wilks
2006,6.1,PG,Rick Brunson
2006,-6.2,PF,Samaki Walker
2005,11.3,C,Loren Woods
2007,12.7,PF,Corliss Williamson
2001,10.4,PG,Vonteego Cummings
2007,12.5,PF,Esteban Batista
2002,11.6,PF,Dickey Simpkins
2002,8.3,SF,Johnny Newman
2008,14,PF,Walter Herrmann
2005,33.7,PG,Luis Flores
2006,8.9,C,Mario Kasun
2002,3.1,SF,Sam Mack
2007,-48.6,C,Mile Ilic
2007,-22.1,C,Vitaly Potapenko
2004,14.9,C,Kevin Willis
2006,6.9,C,Ha Seung-Jin
2001,7.2,SG,Lavor Postell
2005,6.2,SF,Rodney White
2004,14.6,C,Jason Collier
2003,12.2,PG,Avery Johnson
2008,15.1,SG,Bonzi Wells
2009,6.8,PF,Stromile Swift
2004,12,PG,Raul Lopez
2009,11,SG,Tarence Kinsey
2003,8.3,C,Pat Burke
2008,8.8,SG,Taurean Green
2000,5.5,PF,Mark Hendrickson
2007,0.9,PF,Scott Padgett
2006,0.6,PF,Sharrod Ford
2009,9.8,PG,Roko Ukic
2009,-2.9,PG,Dee Brown
2007,2.4,SF,Eric Williams
2004,10.1,PG,Chris Whitney
2001,15.5,PG,Terry Porter
2003,10.4,SG,Adam Harrington
2008,10,SG,Derek Anderson
2001,8.3,SG,Kevin Edwards
2005,4.6,SF,Erik Daniels
2005,15,PG,Dan Dickau
2006,9.8,SF,Jiri Welsch
2000,3,C,Stanley Roberts
2003,17.8,C,David Robinson*
2000,11.7,PF,Grant Long
2002,7.2,SG,Jaren Jackson
2008,11,PG,Sam Cassell
2001,11.2,PF,Larry Johnson
2001,4.9,PG,Vernon Maxwell
2009,7.1,SG,Desmond Mason
2006,13.9,C,Marc Jackson
2001,7.6,PF,Otis Thorpe
2007,11.4,SG,Salim Stoudamire
2002,-0.9,SG,Isaac Fontaine
2001,10,SF,Chris Mullin*
2005,18.1,SG,Geno Carlisle
2009,15.7,SF,Demetris Nichols
2007,12,C,Jake Tsakalidis
2006,10.3,SF,Eddie Basden
2000,-0.4,C,A.J. Bramlett
2006,5.9,C,Antonio Davis
2008,9,SF,Anfernee Hardaway
2002,31.3,PG,Mike Penberthy
2007,9,PG,Gary Payton*
2003,8.4,PG,Igor Rakocevic
2004,21.7,SG,Ray Allen
2001,11.8,SG,Emanual Davis
2003,11,PG,Pepe Sanchez
2005,4.3,C,Daniel Santiago
2009,4.4,PG,Stephon Marbury
2001,0,PF,Anthony Miller
2007,9.5,PF,Viktor Khryapa
2004,5.6,C,Robert Archibald
2007,13.2,PF,Alexander Johnson
2002,13.6,SG,Courtney Alexander
2000,9.6,C,Todd Fuller
2000,4.2,SG,Dale Ellis
2007,10,SG,Allan Ray
2004,7.2,SF,Travis Hansen
2000,9.9,SF,Johnny Taylor
2006,6.8,SG,Doug Christie
2000,12.6,C,Michael Cage
2008,9.1,PG,Steve Francis
2001,10.8,C,Evan Eschmeyer
2004,1.5,C,Michael Stewart
2004,11.1,PG,Shammond Williams
2007,17.2,SG,Dajuan Wagner
