1996,3.7,C,Todd Mundt
1995,14.6,PG,Vern Fleming
1992,12.6,C,Bill Laimbeer
1996,10.8,SF,Randolph Keys
1994,8.9,PF,Tellis Frank
1999,-2.8,C,Loren Meyer
1993,9.3,PF,Sidney Green
1996,0.2,C,Charles Claxton
1997,10.6,SF,Rafael Addison
1994,15.6,C,Matt Wenstrom
1997,11.2,SG,Gerald Wilkins
1998,13.9,C,Tony Farmer
1995,9.2,PF,Kenny Gattison
1990,6.7,SF,Charles Davis
1995,11,PG,Dwayne Morton
1993,14.1,SG,Trent Tucker
1996,9,PG,Scott Skiles
1990,13.6,PF,Brian Rowsom
1991,7.8,PF,Dave Greenwood
1991,12.5,C,Dave Corzine
1999,34.4,PF,Ben Davis
1999,7,C,Andrew Lang
1999,24.4,SG,Brandon Williams
1993,9.2,C,Jon Koncak
1998,-7.3,SF,Bob McCann
1990,7.9,C,Kurt Nimphius
1993,6.9,PF,Jeff Sanders
1998,6.9,SF,Reggie Hanson
1995,12.2,PG,Johnny Dawkins
1997,4.7,SF,Ed O'Bannon
1998,4.9,SG,Shea Seals
1997,10.5,C,Horacio Llamas
1990,18.7,PG,Steve Alford
1990,-1.7,PG,Jerry Sichting
1993,11.5,PF,Alec Kessler
1998,13.5,SG,Lloyd Daniels
1996,13,C,Robert Parish*
1991,10.7,SG,T.R. Dunn
1995,10.8,PG,James Blackwell
1996,8,C,Donald Hodge
1995,15.4,SF,Richard Dumas
1996,8,SG,Jeff Malone
1995,17.6,SG,Tony Harris
1990,-0.2,C,Stuart Gray
1991,4.1,SF,Mike Higgins
1992,8,SG,Paul Pressey
1994,11.8,SF,Gerald Paddio
1996,5.2,PG,Vincenzo Esposito
1998,6.7,SG,Vincent Askew
1993,21.2,PF,Eddie Lee
1995,12.5,PF,Tom Chambers
1991,12.8,SG,Vinnie Johnson
1999,-90.6,C,Gheorghe Muresan
1998,2.1,SG,Greg Graham
1995,10.1,PG,Winston Garland
1998,6.3,SG,Brian Oliver
1998,-7.1,SF,Dontonio Wingfield
