1987,5.8,SF,Mike O'Koren
1980,11.4,SF,Bingo Smith
1983,6.7,PF,Sam Pellom
1989,13,PG,Pearl Washington
1982,12.4,SF,Alex Bradley
1980,15.6,SG,Pete Maravich*
1988,-3.4,SF,Rickie Winslow
1986,8.7,PF,Mike Gibson
1980,5.4,SF,John Brown
1988,7.7,PF,Chris McNealy
1985,5,C,Billy Paultz
1987,11.7,C,Kent Benson
1980,14.8,SG,Brian Winters
1989,12.1,PF,Russ Schoene
1986,-4.3,SF,Brian Martin
1981,6.9,SF,Myles Patrick
1984,12.2,SG,Keith Edmonson
1988,15.8,SG,Purvis Short
1987,11.5,SF,Greg Ballard
1983,12.1,SG,Mark Radford
1986,10.3,PF,Charles Pittman
1989,15.3,SF,Mark Davis
1989,12.4,PF,Wayne Englestad
1985,-7.4,SG,Howard Carter
1981,4,SF,Wally Rank
1986,8.2,SG,Alfredrick Hughes
1983,6,PF,Corny Thompson
1988,16.1,PG,Sam Vincent
1981,8.7,SF,Tom Abernethy
1986,11.6,PF,Pete Williams
1987,10,C,Clemon Johnson
1981,11.1,PG,Lowes Moore
1983,3.9,SF,Dave Magley
1986,9.5,SF,Peter Thibeaux
1988,2.3,C,Martin Nessley
1983,10.9,SF,Rudy Macklin
1980,8.9,SF,Wiley Peck
1983,7.8,SG,John Douglas
1983,7.6,SG,Vince Taylor
1989,14.9,SG,Craig Hodges
1983,9.6,SG,Rickey Williams
1983,11.5,SG,Randy Smith
1982,1.9,PG,Sam Worthen
1989,10.1,C,Earl Cureton
1989,10.5,SF,Eric White
1982,8.6,C,Jim Chones
1980,14.2,PF,Rudy Tomjanovich
1982,7.1,PF,Kevin Restani
1982,11.3,PF,George McGinnis
1987,11.5,SG,Clinton Smith
1986,14.7,PF,Dan Roundfield
1981,6.1,SG,Winford Boynes
1988,17.8,SG,Conner Henry
1984,10.2,SF,Calvin Garrett
1986,12.2,SG,Clint Richardson
1989,17.7,SF,Kelly Tripucka
1986,11.8,PG,Kelvin Ransey
1983,8.8,PF,Dwight Jones
1984,-3.9,SF,Kevin Loder
1989,8.2,C,Darryl Dawkins
1981,14.1,PF,Richard Washington
1986,9.5,SG,Terence Stansbury
1987,10.1,SG,Mike Glenn
1984,7.6,PF,Kenny Dennard
1984,5.4,PF,Brant Weidner
1983,12.3,PG,Tiny Archibald*
1984,7.7,SG,Tracy Jackson
1987,-2.2,SF,Forrest McKenzie
1986,12,SF,Junior Bridgeman
1984,25,PF,Bob Miller
1986,13.9,SG,Johnny Davis
1983,19.9,SF,John Greig
1986,9.7,PF,Marc Iavaroni
1987,13,C,Melvin Turpin
1989,9.4,SF,Albert King
1982,5.3,PG,David Burns
1984,4.9,PG,Eddie Jordan
1982,7.5,PG,Mike Evans
1980,11.7,SG,Eric Money
1989,2.7,C,Petur Gudmundsson
1985,15.6,PG,Ralph Jackson
1985,6.9,SF,Reggie King
1986,6.6,PG,Rod Foster
1981,4.8,SG,Chad Kinch
1984,9,C,Rickey Brown
