14261,1999,Loren Meyer,C,26,DEN,14,0,70,-2.8,0.277,0.179,0.071,6.4,20.5,13.2,2.4,0,3.1,12.2,21.3,,-0.3,0,-0.3,-0.19,,-10.9,-4.2,-15.1,-0.2,7,28,0.25,1,5,0.2,6,23,0.261,0.268,1,2,0.5,4,12,16,1,0,3,4,22,16
24624,2017,Axel Toupane,SF,24,NOP,2,0,41,8.6,0.688,0.375,0,0,2.6,1.3,0,1.2,2,0,8.6,,0.1,0,0.1,0.098,,-1.9,-0.6,-2.5,0,5,8,0.625,1,3,0.333,4,5,0.8,0.688,0,0,,0,1,1,0,1,1,0,5,11
11065,1993,Sidney Green,PF,32,CHH,24,0,127,9.3,0.425,0.05,0.4,12.5,26.6,19.9,5.1,0.4,0.9,14.5,17.9,,-0.1,0.1,0.1,0.024,,-5.4,-2.3,-7.8,-0.2,14,40,0.35,0,2,0,14,38,0.368,0.35,12,16,0.75,14,33,47,5,1,2,8,16,40
23937,2016,Patrick Patterson,PF,26,TOR,79,0,2020,10.6,0.534,0.594,0.069,4.4,14.8,9.7,7.1,1.4,1.3,11.3,12.9,,1.6,2,3.6,0.086,,0.4,0.6,1,1.5,204,493,0.414,106,293,0.362,98,200,0.49,0.521,29,34,0.853,77,265,342,94,53,32,65,128,543
12374,1996,Charles Claxton,C,25,BOS,3,0,7,0.2,0.347,0,1,31.2,0,16,0,0,10,25.8,23.9,,0,0,0,-0.179,,-8.5,-2.6,-11.1,0,1,2,0.5,0,0,,1,2,0.5,0.5,0,2,0,2,0,2,0,0,1,1,4,2
17516,2005,Clifford Robinson,PF,38,NJN,29,0,599,9,0.467,0.391,0.231,4.6,14.7,9.5,8.5,1.6,1.9,11.8,16.5,,-0.2,0.8,0.7,0.052,,-3.2,0.5,-2.7,-0.1,61,169,0.361,25,66,0.379,36,103,0.35,0.435,27,39,0.692,23,72,95,30,18,14,25,74,174
12841,1997,Rafael Addison,SF,32,CHH,41,3,355,10.6,0.476,0.164,0.23,6.7,8.6,7.7,15.5,1.2,0.6,11.2,20.1,,0.2,0.1,0.4,0.048,,-1.8,-2.5,-4.3,-0.2,49,122,0.402,8,20,0.4,41,102,0.402,0.434,22,28,0.786,19,26,45,34,8,3,17,52,128
11798,1994,Matt Wenstrom,C,23,BOS,11,0,37,15.6,0.625,0,1,18.2,18.4,18.3,0,0,3.4,21.7,21.6,,0,0,0.1,0.098,,-3.5,-6.1,-9.6,-0.1,6,10,0.6,0,0,,6,10,0.6,0.6,6,10,0.6,6,6,12,0,0,2,4,7,18
24163,2017,Corey Brewer,SF,30,LAL,24,3,358,13.3,0.49,0.198,0.198,3.2,13,7.9,15,3.3,1.8,12.6,18,,0,0.3,0.3,0.047,,-2.4,0.7,-1.7,0,53,121,0.438,5,24,0.208,48,97,0.495,0.459,18,24,0.75,11,41,52,36,24,8,19,29,129
9492,1989,Terry Tyler,SF,32,DAL,70,11,1057,12.3,0.498,0.025,0.172,7.8,13.9,10.9,5.7,1.1,2.2,11.6,17.9,,0.2,1,1.2,0.055,,-2.9,-0.5,-3.4,-0.4,169,360,0.469,1,9,0.111,168,351,0.479,0.471,47,62,0.758,74,135,209,40,24,39,51,90,386
17526,2005,Michael Ruffin,C,28,WAS,79,7,1262,8.6,0.432,0.01,0.677,13.5,16.2,14.8,7.1,1.8,2.4,25.5,6,,0.7,1.3,1.9,0.074,,-2.4,2.5,0.1,0.7,41,99,0.414,0,1,0,41,98,0.418,0.414,29,67,0.433,157,175,332,64,43,41,44,193,111
